"CBC_Random1","CBC_Random2","CBC_Random3","CBC_Random4","CBC_Random5","CBC_Random6","CBC_Random7","CBC_Random8","Age","Gender","Sustainability","Experience","Education","University","Stakeholder","Stakeholder_6_other","Certificate","Degree","Tenure","Education_7_other"
3,3,3,1,1,1,1,1,22,1,4,3,2,2,5,"",2,2,1,NA
2,3,1,3,1,2,3,3,26,3,4,2,4,2,5,"",2,3,1,NA
1,2,2,1,3,1,3,3,55,1,5,1,8,1,4,"",NA,NA,2,NA
1,1,1,2,1,3,2,2,21,1,4,2,2,2,5,"",2,2,1,NA
2,1,1,3,2,2,1,1,23,1,5,2,4,2,5,"",1,3,1,NA
1,2,2,2,2,3,2,3,NA,2,5,1,7,1,3,"",NA,NA,1,NA
2,3,2,1,2,3,3,1,27,2,5,2,5,2,3,"",NA,NA,2,NA
2,3,2,3,1,2,2,1,20,2,5,2,2,2,5,"",2,2,1,NA
2,3,2,2,3,3,3,1,23,1,4,2,4,2,5,"",2,3,1,NA
2,2,1,2,3,1,1,3,NA,2,4,2,4,2,5,"",2,2,1,NA
2,1,1,2,3,1,1,1,21,2,5,1,2,2,5,"",2,2,1,NA
1,1,1,3,1,1,1,1,25,2,4,2,4,2,5,"",2,3,1,NA
3,2,3,2,1,3,1,1,19,1,3,2,2,2,5,"",2,2,1,NA
3,1,2,1,1,3,3,1,20,1,4,2,2,1,5,"",2,2,1,NA
1,3,3,1,3,1,1,2,24,1,3,1,4,1,5,"",2,3,1,NA
2,3,2,3,3,2,2,1,22,2,4,2,2,1,5,"",2,2,1,NA
2,3,3,1,1,2,2,2,22,1,5,1,4,1,5,"",2,2,1,NA
1,1,2,2,3,1,2,1,21,2,4,2,2,2,5,"",2,2,1,NA
2,2,3,3,1,3,2,1,19,2,4,2,2,2,5,"",2,2,1,NA
2,3,3,2,3,2,2,2,54,1,5,1,7,1,3,"",NA,NA,3,NA
3,2,2,2,1,1,3,3,24,2,5,2,4,1,5,"",1,3,1,NA
2,1,3,1,1,2,1,3,32,1,4,2,5,1,5,"",2,3,1,NA
3,1,1,1,1,2,2,3,22,2,4,2,4,1,5,"",1,3,1,NA
