Category_1,Category_2,Value
Total Respondents,,122
Certificate NGO,No,0.273
Certificate NGO,Yes,0.509
Certificate Company,No,0.125
Certificate Company,Yes,0.32
Direct Investment,No,0.282
Direct Investment,Yes,0.497
Interaction Chi-Square,,4.411
D.F.,,2
Significance,,not sig
