Category_1,Category_2,Value
Total Respondents,,122
Certificate NGO,Uni,0.351
Certificate NGO,User,0.486
Certificate NGO,Funding,0.349
Certificate Company,Uni,0.18
Certificate Company,User,0.274
Certificate Company,Funding,0.203
Direct Investment,Uni,0.372
Direct Investment,User,0.484
Direct Investment,Funding,0.311
Interaction Chi-Square,,1.917
D.F.,,4
Significance,,not sig
