Category_1,Category_2,Value
Total Respondents,,122
Regional,Uni,0.307
Regional,User,0.411
Regional,Funding,0.261
National,Uni,0.308
National,User,0.449
National,Funding,0.334
International,Uni,0.29
International,User,0.372
International,Funding,0.265
Interaction Chi-Square,,1.784
D.F.,,4
Significance,,not sig
