Category_1,Category_2,Value
Total Respondents,,122
No,Uni,0.184
No,User,0.308
No,Funding,0.18
Yes,Uni,0.413
Yes,User,0.518
Yes,Funding,0.398
Interaction Chi-Square,,4.303
D.F.,,2
Significance,,not sig
