Respondent,attribute,importance
1,Business Model,57.7652509630696
1,Location,7.05510904245522
1,Synergy,27.8742942350569
1,Budget,7.30534575941832
4,Business Model,35.3653622311484
4,Location,10.9425186509259
4,Synergy,28.0067295927813
4,Budget,25.6853895251444
7,Business Model,34.3312420845697
7,Location,7.35455928228433
7,Synergy,28.6432978105788
7,Budget,29.6709008225672
9,Business Model,29.8465137494257
9,Location,13.167008477424
9,Synergy,34.9907770492045
9,Budget,21.9957007239459
17,Business Model,65.7697176436522
17,Location,3.33832560427376
17,Synergy,15.2207223067878
17,Budget,15.6712344452863
19,Business Model,39.4946181854141
19,Location,2.54472671689215
19,Synergy,42.8923999964505
19,Budget,15.0682551012433
22,Business Model,30.5790395440078
22,Location,18.1428133395256
22,Synergy,37.3986342692145
22,Budget,13.8795128472521
25,Business Model,28.949338593085
25,Location,22.5937208239797
25,Synergy,23.9465477619933
25,Budget,24.5103928209419
26,Business Model,18.0758027827282
26,Location,15.039710510692201
26,Synergy,9.25227069336813
26,Budget,57.6322160132114
27,Business Model,27.1106543712277
27,Location,10.6417373170527
27,Synergy,27.8015147390943
27,Budget,34.4460935726253
28,Business Model,27.512069202511
28,Location,10.3315204228314
28,Synergy,21.4741306177821
28,Budget,40.6822797568755
29,Business Model,6.109924698182
29,Location,15.1029593846405
29,Synergy,12.8621534499391
29,Budget,65.9249624672384
33,Business Model,86.6072695921851
33,Location,1.84535582269577
33,Synergy,4.386411588197
33,Budget,7.16096299692213
34,Business Model,35.0928128019507
34,Location,7.31337124616285
34,Synergy,4.36126180826366
34,Budget,53.2325541436228
35,Business Model,36.7329572385221
35,Location,18.7787226354505
35,Synergy,3.6656994239307
35,Budget,40.8226207020967
36,Business Model,41.9324888504358
36,Location,4.66629023689646
36,Synergy,44.7104145228058
36,Budget,8.69080638986197
42,Business Model,37.3775869453585
42,Location,15.10892245767
42,Synergy,12.7721391668679
42,Budget,34.7413514301036
45,Business Model,28.8492281035469
45,Location,10.7743948790635
45,Synergy,34.5942813240153
45,Budget,25.7820956933743
46,Business Model,58.2009365930556
46,Location,4.11915616219524
46,Synergy,12.5735760985183
46,Budget,25.1063311462309
47,Business Model,38.0535459256118
47,Location,13.740136884939
47,Synergy,23.3565606601537
47,Budget,24.8497565292954
48,Business Model,29.4254390411559
48,Location,18.0985632237656
48,Synergy,26.7955211331428
48,Budget,25.6804766019357
50,Business Model,26.2231514545774
50,Location,18.7184932511784
50,Synergy,35.6625122578232
50,Budget,19.395843036421
52,Business Model,69.6733553271931
52,Location,3.86047438403867
52,Synergy,1.70967654969386
52,Budget,24.7564937390744
54,Business Model,23.0216947273987
54,Location,24.8781434957776
54,Synergy,0.651155455683712
54,Budget,51.44900632114
58,Business Model,15.5286190605052
58,Location,16.8073126959823
58,Synergy,21.4727642627691
58,Budget,46.1913039807434
60,Business Model,12.4914360698324
60,Location,30.0118443743474
60,Synergy,31.4633789022882
60,Budget,26.033340653532
61,Business Model,24.1022913222342
61,Location,17.2535632528914
61,Synergy,14.4821166421051
61,Budget,44.1620287827692
63,Business Model,47.7195821808438
63,Location,1.09929320937049
63,Synergy,6.56116598439677
63,Budget,44.6199586253889
71,Business Model,25.0121885279689
71,Location,19.1126948353653
71,Synergy,13.5358609245546
71,Budget,42.3392557121112
72,Business Model,39.7999889449188
72,Location,9.02077389393853
72,Synergy,13.8450005983436
72,Budget,37.3342365627991
73,Business Model,28.576226692854
73,Location,8.17559194538491
73,Synergy,24.6719356217547
73,Budget,38.5762457400063
74,Business Model,15.9460745306988
74,Location,5.69035747835044
74,Synergy,49.6934928884906
74,Budget,28.6700751024602
75,Business Model,48.8837536360934
75,Location,11.9896186134625
75,Synergy,3.3268522265551
75,Budget,35.7997755238891
76,Business Model,36.9718324715113
76,Location,17.9400737788924
76,Synergy,23.0320473995143
76,Budget,22.056046350082
78,Business Model,43.9983383047095
78,Location,7.79145879980886
78,Synergy,0.495111315571604
78,Budget,47.71509157991
81,Business Model,33.0945965004816
81,Location,42.9915044049963
81,Synergy,4.18477652924036
81,Budget,19.7291225652817
82,Business Model,71.4418095600173
82,Location,13.9552576532907
82,Synergy,9.15925889907786
82,Budget,5.4436738876141
